"PassengerId","Sex","Age","FamCnt","Pclass","Embarked","Survived"
1,1,22,1,3,3,0
2,2,38,1,1,1,1
3,2,26,0,3,3,1
4,2,35,1,1,3,1
5,1,35,0,3,3,0
6,1,0,0,3,2,0
7,1,54,0,1,3,0
8,1,2,4,3,3,0
9,2,27,2,3,3,1
10,2,14,1,2,1,1
11,2,4,2,3,3,1
12,2,58,0,1,3,1
13,1,20,0,3,3,0
15,2,14,0,3,3,0
16,2,55,0,2,3,1
17,1,2,5,3,2,0
18,1,0,0,2,3,1
19,2,31,1,3,3,0
20,2,0,0,3,1,1
21,1,35,0,2,3,0
22,1,34,0,2,3,1
23,2,15,0,3,2,1
25,2,8,4,3,3,0
26,2,38,6,3,3,1
27,1,0,0,3,1,0
28,1,19,5,1,3,0
29,2,0,0,3,2,1
30,1,0,0,3,3,0
31,1,40,0,1,1,0
32,2,0.9,1,1,1,1
33,2,0,0,3,2,1
34,1,66,0,2,3,0
35,1,28,1,1,1,0
36,1,42,1,1,3,0
37,1,0,0,3,1,1
38,1,21,0,3,3,0
39,2,18,2,3,3,0
40,2,14,1,3,1,1
41,2,40,1,3,3,0
42,2,27,1,2,3,0
43,1,0,0,3,1,0
44,2,3,3,2,1,1
45,2,19,0,3,2,1
46,1,0,0,3,3,0
47,1,0,1,3,2,0
48,2,0,0,3,2,1
49,1,0,2,3,1,0
50,2,18,1,3,3,0
51,1,7,5,3,3,0
52,1,21,0,3,3,0
53,2,49,1,1,1,1
54,2,29,1,2,3,1
55,1,65,1,1,1,0
56,1,0,0,1,3,1
57,2,21,0,2,3,1
58,1,28.5,0,3,1,0
59,2,5,3,2,3,1
60,1,11,7,3,3,0
61,1,22,0,3,1,0
62,2,38,0,1,0,1
63,1,45,1,1,3,0
64,1,4,5,3,3,0
65,1,0,0,1,1,0
66,1,0,2,3,1,1
67,2,29,0,2,3,1
68,1,19,0,3,3,0
69,2,17,6,3,3,1
70,1,26,2,3,3,0
71,1,32,0,2,3,0
72,2,16,7,3,3,0
73,1,21,0,2,3,0
74,1,26,1,3,1,0
75,1,32,0,3,3,1
76,1,25,0,3,3,0
77,1,0,0,3,3,0
78,1,0,0,3,3,0
79,1,0.83,2,2,3,1
80,2,30,0,3,3,1
81,1,22,0,3,3,0
82,1,29,0,3,3,1
83,2,0,0,3,2,1
84,1,28,0,1,3,0
85,2,17,0,2,3,1
86,2,33,3,3,3,1
87,1,16,4,3,3,0
88,1,0,0,3,3,0
89,2,23,5,1,3,1
90,1,24,0,3,3,0
91,1,29,0,3,3,0
92,1,20,0,3,3,0
93,1,46,1,1,3,0
94,1,26,3,3,3,0
95,1,59,0,3,3,0
96,1,0,0,3,3,0
97,1,71,0,1,1,0
98,1,23,1,1,1,1
99,2,34,1,2,3,1
100,1,34,1,2,3,0
101,2,28,0,3,3,0
102,1,0,0,3,3,0
103,1,21,1,1,3,0
104,1,33,0,3,3,0
105,1,37,2,3,3,0
106,1,28,0,3,3,0
107,2,21,0,3,3,1
108,1,0,0,3,3,1
109,1,38,0,3,3,0
110,2,0,1,3,2,1
111,1,47,0,1,3,0
112,2,14.5,1,3,1,0
113,1,22,0,3,3,0
114,2,20,1,3,3,0
115,2,17,0,3,1,0
116,1,21,0,3,3,0
117,1,70.5,0,3,2,0
118,1,29,1,2,3,0
119,1,24,1,1,1,0
120,2,2,6,3,3,0
121,1,21,2,2,3,0
122,1,0,0,3,3,0
123,1,32.5,1,2,1,0
124,2,32.5,0,2,3,1
125,1,54,1,1,3,0
126,1,12,1,3,1,1
127,1,0,0,3,2,0
128,1,24,0,3,3,1
129,2,0,2,3,1,1
130,1,45,0,3,3,0
131,1,33,0,3,1,0
132,1,20,0,3,3,0
133,2,47,1,3,3,0
134,2,29,1,2,3,1
135,1,25,0,2,3,0
136,1,23,0,2,1,0
137,2,19,2,1,3,1
138,1,37,1,1,3,0
139,1,16,0,3,3,0
140,1,24,0,1,1,0
141,2,0,2,3,1,0
142,2,22,0,3,3,1
143,2,24,1,3,3,1
144,1,19,0,3,2,0
145,1,18,0,2,3,0
146,1,19,2,2,3,0
147,1,27,0,3,3,1
148,2,9,4,3,3,0
149,1,36.5,2,2,3,0
150,1,42,0,2,3,0
151,1,51,0,2,3,0
152,2,22,1,1,3,1
153,1,55.5,0,3,3,0
154,1,40.5,2,3,3,0
155,1,0,0,3,3,0
156,1,51,1,1,1,0
157,2,16,0,3,2,1
158,1,30,0,3,3,0
159,1,0,0,3,3,0
160,1,0,10,3,3,0
161,1,44,1,3,3,0
162,2,40,0,2,3,1
163,1,26,0,3,3,0
164,1,17,0,3,3,0
165,1,1,5,3,3,0
166,1,9,2,3,3,1
167,2,0,1,1,3,1
168,2,45,5,3,3,0
169,1,0,0,1,3,0
170,1,28,0,3,3,0
171,1,61,0,1,3,0
172,1,4,5,3,2,0
173,2,1,2,3,3,1
174,1,21,0,3,3,0
175,1,56,0,1,1,0
176,1,18,2,3,3,0
177,1,0,4,3,3,0
178,2,50,0,1,1,0
179,1,30,0,2,3,0
180,1,36,0,3,3,0
181,2,0,10,3,3,0
182,1,0,0,2,1,0
183,1,9,6,3,3,0
184,1,1,3,2,3,1
185,2,4,2,3,3,1
186,1,0,0,1,3,0
187,2,0,1,3,2,1
188,1,45,0,1,3,1
189,1,40,2,3,2,0
190,1,36,0,3,3,0
191,2,32,0,2,3,1
192,1,19,0,2,3,0
193,2,19,1,3,3,1
194,1,3,2,2,3,1
195,2,44,0,1,1,1
196,2,58,0,1,1,1
197,1,0,0,3,2,0
198,1,42,1,3,3,0
199,2,0,0,3,2,1
200,2,24,0,2,3,0
201,1,28,0,3,3,0
202,1,0,10,3,3,0
203,1,34,0,3,3,0
204,1,45.5,0,3,1,0
205,1,18,0,3,3,1
206,2,2,1,3,3,0
207,1,32,1,3,3,0
208,1,26,0,3,1,1
209,2,16,0,3,2,1
210,1,40,0,1,1,1
211,1,24,0,3,3,0
212,2,35,0,2,3,1
213,1,22,0,3,3,0
214,1,30,0,2,3,0
215,1,0,1,3,2,0
216,2,31,1,1,1,1
217,2,27,0,3,3,1
218,1,42,1,2,3,0
219,2,32,0,1,1,1
220,1,30,0,2,3,0
221,1,16,0,3,3,1
222,1,27,0,2,3,0
223,1,51,0,3,3,0
224,1,0,0,3,3,0
225,1,38,1,1,3,1
226,1,22,0,3,3,0
227,1,19,0,2,3,1
228,1,20.5,0,3,3,0
229,1,18,0,2,3,0
230,2,0,4,3,3,0
231,2,35,1,1,3,1
232,1,29,0,3,3,0
233,1,59,0,2,3,0
234,2,5,6,3,3,1
235,1,24,0,2,3,0
236,2,0,0,3,3,0
237,1,44,1,2,3,0
238,2,8,2,2,3,1
239,1,19,0,2,3,0
240,1,33,0,2,3,0
241,2,0,1,3,1,0
242,2,0,1,3,2,1
243,1,29,0,2,3,0
244,1,22,0,3,3,0
245,1,30,0,3,1,0
246,1,44,2,1,2,0
247,2,25,0,3,3,0
248,2,24,2,2,3,1
249,1,37,2,1,3,1
250,1,54,1,2,3,0
251,1,0,0,3,3,0
252,2,29,2,3,3,0
253,1,62,0,1,3,0
254,1,30,1,3,3,0
255,2,41,2,3,3,0
256,2,29,2,3,1,1
257,2,0,0,1,1,1
258,2,30,0,1,3,1
259,2,35,0,1,1,1
260,2,50,1,2,3,1
261,1,0,0,3,2,0
262,1,3,6,3,3,1
263,1,52,2,1,3,0
264,1,40,0,1,3,0
265,2,0,0,3,2,0
266,1,36,0,2,3,0
267,1,16,5,3,3,0
268,1,25,1,3,3,1
269,2,58,1,1,3,1
270,2,35,0,1,3,1
271,1,0,0,1,3,0
272,1,25,0,3,3,1
273,2,41,1,2,3,1
274,1,37,1,1,1,0
275,2,0,0,3,2,1
276,2,63,1,1,3,1
277,2,45,0,3,3,0
278,1,0,0,2,3,0
279,1,7,5,3,2,0
280,2,35,2,3,3,1
281,1,65,0,3,2,0
282,1,28,0,3,3,0
283,1,16,0,3,3,0
284,1,19,0,3,3,1
285,1,0,0,1,3,0
286,1,33,0,3,1,0
287,1,30,0,3,3,1
288,1,22,0,3,3,0
289,1,42,0,2,3,1
290,2,22,0,3,2,1
291,2,26,0,1,3,1
292,2,19,1,1,1,1
293,1,36,0,2,1,0
294,2,24,0,3,3,0
295,1,24,0,3,3,0
296,1,0,0,1,1,0
297,1,23.5,0,3,1,0
298,2,2,3,1,3,0
299,1,0,0,1,3,1
300,2,50,1,1,1,1
301,2,0,0,3,2,1
302,1,0,2,3,2,1
303,1,19,0,3,3,0
304,2,0,0,2,2,1
305,1,0,0,3,3,0
306,1,0.92,3,1,3,1
307,2,0,0,1,1,1
308,2,17,1,1,1,1
309,1,30,1,2,1,0
310,2,30,0,1,1,1
311,2,24,0,1,1,1
312,2,18,4,1,1,1
313,2,26,2,2,3,0
314,1,28,0,3,3,0
315,1,43,2,2,3,0
316,2,26,0,3,3,1
317,2,24,1,2,3,1
318,1,54,0,2,3,0
319,2,31,2,1,3,1
320,2,40,2,1,1,1
321,1,22,0,3,3,0
322,1,27,0,3,3,0
323,2,30,0,2,2,1
324,2,22,2,2,3,1
325,1,0,10,3,3,0
326,2,36,0,1,1,1
327,1,61,0,3,3,0
328,2,36,0,2,3,1
329,2,31,2,3,3,1
330,2,16,1,1,1,1
331,2,0,2,3,2,1
332,1,45.5,0,1,3,0
333,1,38,1,1,3,0
334,1,16,2,3,3,0
335,2,0,1,1,3,1
336,1,0,0,3,3,0
337,1,29,1,1,3,0
338,2,41,0,1,1,1
339,1,45,0,3,3,1
340,1,45,0,1,3,0
341,1,2,2,2,3,1
342,2,24,5,1,3,1
343,1,28,0,2,3,0
344,1,25,0,2,3,0
345,1,36,0,2,3,0
346,2,24,0,2,3,1
347,2,40,0,2,3,1
348,2,0,1,3,3,1
349,1,3,2,3,3,1
350,1,42,0,3,3,0
351,1,23,0,3,3,0
352,1,0,0,1,3,0
353,1,15,2,3,1,0
354,1,25,1,3,3,0
355,1,0,0,3,1,0
356,1,28,0,3,3,0
357,2,22,1,1,3,1
358,2,38,0,2,3,0
359,2,0,0,3,2,1
360,2,0,0,3,2,1
361,1,40,5,3,3,0
362,1,29,1,2,1,0
363,2,45,1,3,1,0
364,1,35,0,3,3,0
365,1,0,1,3,2,0
366,1,30,0,3,3,0
367,2,60,1,1,1,1
368,2,0,0,3,1,1
369,2,0,0,3,2,1
370,2,24,0,1,1,1
371,1,25,1,1,1,1
372,1,18,1,3,3,0
373,1,19,0,3,3,0
374,1,22,0,1,1,0
375,2,3,4,3,3,0
376,2,0,1,1,1,1
377,2,22,0,3,3,1
378,1,27,2,1,1,0
379,1,20,0,3,1,0
380,1,19,0,3,3,0
381,2,42,0,1,1,1
382,2,1,2,3,1,1
383,1,32,0,3,3,0
384,2,35,1,1,3,1
385,1,0,0,3,3,0
386,1,18,0,2,3,0
387,1,1,7,3,3,0
388,2,36,0,2,3,1
389,1,0,0,3,2,0
390,2,17,0,2,1,1
391,1,36,3,1,3,1
392,1,21,0,3,3,1
393,1,28,2,3,3,0
394,2,23,1,1,1,1
395,2,24,2,3,3,1
396,1,22,0,3,3,0
397,2,31,0,3,3,0
398,1,46,0,2,3,0
399,1,23,0,2,3,0
400,2,28,0,2,3,1
401,1,39,0,3,3,1
402,1,26,0,3,3,0
403,2,21,1,3,3,0
404,1,28,1,3,3,0
405,2,20,0,3,3,0
406,1,34,1,2,3,0
407,1,51,0,3,3,0
408,1,3,2,2,3,1
409,1,21,0,3,3,0
410,2,0,4,3,3,0
411,1,0,0,3,3,0
412,1,0,0,3,2,0
413,2,33,1,1,2,1
414,1,0,0,2,3,0
415,1,44,0,3,3,1
416,2,0,0,3,3,0
417,2,34,2,2,3,1
418,2,18,2,2,3,1
419,1,30,0,2,3,0
420,2,10,2,3,3,0
421,1,0,0,3,1,0
422,1,21,0,3,2,0
423,1,29,0,3,3,0
424,2,28,2,3,3,0
425,1,18,2,3,3,0
426,1,0,0,3,3,0
427,2,28,1,2,3,1
428,2,19,0,2,3,1
429,1,0,0,3,2,0
430,1,32,0,3,3,1
431,1,28,0,1,3,1
432,2,0,1,3,3,1
433,2,42,1,2,3,1
434,1,17,0,3,3,0
435,1,50,1,1,3,0
436,2,14,3,1,3,1
437,2,21,4,3,3,0
438,2,24,5,2,3,1
439,1,64,5,1,3,0
440,1,31,0,2,3,0
441,2,45,2,2,3,1
442,1,20,0,3,3,0
443,1,25,1,3,3,0
444,2,28,0,2,3,1
445,1,0,0,3,3,1
446,1,4,2,1,3,1
447,2,13,1,2,3,1
448,1,34,0,1,3,1
449,2,5,3,3,1,1
450,1,52,0,1,3,1
451,1,36,3,2,3,0
452,1,0,1,3,3,0
453,1,30,0,1,1,0
454,1,49,1,1,1,1
455,1,0,0,3,3,0
456,1,29,0,3,1,1
457,1,65,0,1,3,0
458,2,0,1,1,3,1
459,2,50,0,2,3,1
460,1,0,0,3,2,0
461,1,48,0,1,3,1
462,1,34,0,3,3,0
463,1,47,0,1,3,0
464,1,48,0,2,3,0
465,1,0,0,3,3,0
466,1,38,0,3,3,0
467,1,0,0,2,3,0
468,1,56,0,1,3,0
469,1,0,0,3,2,0
470,2,0.75,3,3,1,1
471,1,0,0,3,3,0
472,1,38,0,3,3,0
473,2,33,3,2,3,1
474,2,23,0,2,1,1
475,2,22,0,3,3,0
476,1,0,0,1,3,0
477,1,34,1,2,3,0
478,1,29,1,3,3,0
479,1,22,0,3,3,0
480,2,2,1,3,3,1
481,1,9,7,3,3,0
482,1,0,0,2,3,0
483,1,50,0,3,3,0
484,2,63,0,3,3,1
485,1,25,1,1,1,1
486,2,0,4,3,3,0
487,2,35,1,1,3,1
488,1,58,0,1,1,0
489,1,30,0,3,3,0
490,1,9,2,3,3,1
491,1,0,1,3,3,0
492,1,21,0,3,3,0
493,1,55,0,1,3,0
494,1,71,0,1,1,0
495,1,21,0,3,3,0
496,1,0,0,3,1,0
497,2,54,1,1,1,1
498,1,0,0,3,3,0
499,2,25,3,1,3,0
500,1,24,0,3,3,0
501,1,17,0,3,3,0
502,2,21,0,3,2,0
503,2,0,0,3,2,0
504,2,37,0,3,3,0
505,2,16,0,1,3,1
506,1,18,1,1,1,0
507,2,33,2,2,3,1
508,1,0,0,1,3,1
509,1,28,0,3,3,0
510,1,26,0,3,3,1
511,1,29,0,3,2,1
512,1,0,0,3,3,0
513,1,36,0,1,3,1
514,2,54,1,1,1,1
515,1,24,0,3,3,0
516,1,47,0,1,3,0
517,2,34,0,2,3,1
518,1,0,0,3,2,0
519,2,36,1,2,3,1
520,1,32,0,3,3,0
522,1,22,0,3,3,0
523,1,0,0,3,1,0
524,2,44,1,1,1,1
525,1,0,0,3,1,0
526,1,40.5,0,3,2,0
527,2,50,0,2,3,1
528,1,0,0,1,3,0
529,1,39,0,3,3,0
530,1,23,3,2,3,0
531,2,2,2,2,3,1
532,1,0,0,3,1,0
533,1,17,2,3,1,0
534,2,0,2,3,1,1
535,2,30,0,3,3,0
536,2,7,2,2,3,1
537,1,45,0,1,3,0
538,2,30,0,1,1,1
539,1,0,0,3,3,0
540,2,22,2,1,1,1
541,2,36,2,1,3,1
542,2,9,6,3,3,0
543,2,11,6,3,3,0
544,1,32,1,2,3,1
545,1,50,1,1,1,0
546,1,64,0,1,3,0
547,2,19,1,2,3,1
548,1,0,0,2,1,1
549,1,33,2,3,3,0
550,1,8,2,2,3,1
551,1,17,2,1,1,1
552,1,27,0,2,3,0
553,1,0,0,3,2,0
554,1,22,0,3,1,1
555,2,22,0,3,3,1
556,1,62,0,1,3,0
557,2,48,1,1,1,1
558,1,0,0,1,1,0
559,2,39,2,1,3,1
560,2,36,1,3,3,1
561,1,0,0,3,2,0
562,1,40,0,3,3,0
563,1,28,0,2,3,0
564,1,0,0,3,3,0
565,2,0,0,3,3,0
566,1,24,2,3,3,0
567,1,19,0,3,3,0
568,2,29,4,3,3,0
569,1,0,0,3,1,0
570,1,32,0,3,3,1
571,1,62,0,2,3,1
572,2,53,2,1,3,1
573,1,36,0,1,3,1
574,2,0,0,3,2,1
575,1,16,0,3,3,0
576,1,19,0,3,3,0
577,2,34,0,2,3,1
578,2,39,1,1,3,1
579,2,0,1,3,1,0
580,1,32,0,3,3,1
581,2,25,2,2,3,1
582,2,39,2,1,1,1
583,1,54,0,2,3,0
584,1,36,0,1,1,0
585,1,0,0,3,1,0
586,2,18,2,1,3,1
587,1,47,0,2,3,0
588,1,60,2,1,1,1
589,1,22,0,3,3,0
590,1,0,0,3,3,0
591,1,35,0,3,3,0
592,2,52,1,1,1,1
593,1,47,0,3,3,0
594,2,0,2,3,2,0
595,1,37,1,2,3,0
596,1,36,2,3,3,0
597,2,0,0,2,3,1
598,1,49,0,3,3,0
599,1,0,0,3,1,0
600,1,49,1,1,1,1
601,2,24,3,2,3,1
602,1,0,0,3,3,0
603,1,0,0,1,3,0
604,1,44,0,3,3,0
605,1,35,0,1,1,1
606,1,36,1,3,3,0
607,1,30,0,3,3,0
608,1,27,0,1,3,1
609,2,22,3,2,1,1
610,2,40,0,1,3,1
611,2,39,6,3,3,0
612,1,0,0,3,3,0
613,2,0,1,3,2,1
614,1,0,0,3,2,0
615,1,35,0,3,3,0
616,2,24,3,2,3,1
617,1,34,2,3,3,0
618,2,26,1,3,3,0
619,2,4,3,2,3,1
620,1,26,0,2,3,0
621,1,27,1,3,1,0
622,1,42,1,1,3,1
623,1,20,2,3,1,1
624,1,21,0,3,3,0
625,1,21,0,3,3,0
626,1,61,0,1,3,0
627,1,57,0,2,2,0
628,2,21,0,1,3,1
629,1,26,0,3,3,0
630,1,0,0,3,2,0
631,1,80,0,1,3,1
632,1,51,0,3,3,0
633,1,32,0,1,1,1
634,1,0,0,1,3,0
635,2,9,5,3,3,0
636,2,28,0,2,3,1
637,1,32,0,3,3,0
638,1,31,2,2,3,0
639,2,41,5,3,3,0
640,1,0,1,3,3,0
641,1,20,0,3,3,0
642,2,24,0,1,1,1
643,2,2,5,3,3,0
644,1,0,0,3,3,1
645,2,0.75,3,3,1,1
646,1,48,1,1,1,1
647,1,19,0,3,3,0
648,1,56,0,1,1,1
649,1,0,0,3,3,0
650,2,23,0,3,3,1
651,1,0,0,3,3,0
652,2,18,1,2,3,1
653,1,21,0,3,3,0
654,2,0,0,3,2,1
655,2,18,0,3,2,0
656,1,24,2,2,3,0
657,1,0,0,3,3,0
658,2,32,2,3,2,0
659,1,23,0,2,3,0
660,1,58,2,1,1,0
661,1,50,2,1,3,1
662,1,40,0,3,1,0
663,1,47,0,1,3,0
664,1,36,0,3,3,0
665,1,20,1,3,3,1
666,1,32,2,2,3,0
667,1,0,0,2,3,0
668,1,0,0,3,3,0
669,1,43,0,3,3,0
670,2,0,1,1,3,1
671,2,40,2,2,3,1
672,1,31,1,1,3,0
673,1,70,0,2,3,0
674,1,31,0,2,3,1
675,1,0,0,2,3,0
676,1,18,0,3,3,0
677,1,24.5,0,3,3,0
678,2,18,0,3,3,1
680,1,36,1,1,1,1
681,2,0,0,3,2,0
682,1,27,0,1,1,1
683,1,20,0,3,3,0
684,1,14,7,3,3,0
685,1,60,2,2,3,0
686,1,25,3,2,1,0
687,1,14,5,3,3,0
688,1,19,0,3,3,0
689,1,18,0,3,3,0
690,2,15,1,1,3,1
691,1,31,1,1,3,1
692,2,4,1,3,1,1
693,1,0,0,3,3,1
694,1,25,0,3,1,0
695,1,60,0,1,3,0
696,1,52,0,2,3,0
697,1,44,0,3,3,0
698,2,0,0,3,2,1
699,1,49,2,1,1,0
700,1,42,0,3,3,0
701,2,18,1,1,1,1
702,1,35,0,1,3,1
703,2,18,1,3,1,0
704,1,25,0,3,2,0
705,1,26,1,3,3,0
706,1,39,0,2,3,0
707,2,45,0,2,3,1
708,1,42,0,1,3,1
709,2,22,0,1,3,1
710,1,0,2,3,1,1
711,2,24,0,1,1,1
712,1,0,0,1,3,0
713,1,48,1,1,3,1
714,1,29,0,3,3,0
715,1,52,0,2,3,0
716,1,19,0,3,3,0
717,2,38,0,1,1,1
718,2,27,0,2,3,1
719,1,0,0,3,2,0
720,1,33,0,3,3,0
721,2,6,1,2,3,1
722,1,17,1,3,3,0
723,1,34,0,2,3,0
724,1,50,0,2,3,0
725,1,27,1,1,3,1
726,1,20,0,3,3,0
727,2,30,3,2,3,1
728,2,0,0,3,2,1
729,1,25,1,2,3,0
730,2,25,1,3,3,0
731,2,29,0,1,3,1
732,1,11,0,3,1,0
733,1,0,0,2,3,0
734,1,23,0,2,3,0
735,1,23,0,2,3,0
736,1,28.5,0,3,3,0
737,2,48,4,3,3,0
738,1,35,0,1,1,1
739,1,0,0,3,3,0
740,1,0,0,3,3,0
741,1,0,0,1,3,1
742,1,36,1,1,3,0
743,2,21,4,1,1,1
744,1,24,1,3,3,0
745,1,31,0,3,3,1
746,1,70,2,1,3,0
747,1,16,2,3,3,0
748,2,30,0,2,3,1
749,1,19,1,1,3,0
750,1,31,0,3,2,0
751,2,4,2,2,3,1
752,1,6,1,3,3,1
753,1,33,0,3,3,0
754,1,23,0,3,3,0
755,2,48,3,2,3,1
756,1,0.67,2,2,3,1
757,1,28,0,3,3,0
758,1,18,0,2,3,0
759,1,34,0,3,3,0
760,2,33,0,1,3,1
761,1,0,0,3,3,0
762,1,41,0,3,3,0
763,1,20,0,3,1,1
764,2,36,3,1,3,1
765,1,16,0,3,3,0
766,2,51,1,1,3,1
767,1,0,0,1,1,0
768,2,30.5,0,3,2,0
769,1,0,1,3,2,0
770,1,32,0,3,3,0
771,1,24,0,3,3,0
772,1,48,0,3,3,0
773,2,57,0,2,3,0
774,1,0,0,3,1,0
775,2,54,4,2,3,1
776,1,18,0,3,3,0
777,1,0,0,3,2,0
778,2,5,0,3,3,1
779,1,0,0,3,2,0
780,2,43,1,1,3,1
781,2,13,0,3,1,1
782,2,17,1,1,3,1
783,1,29,0,1,3,0
784,1,0,3,3,3,0
785,1,25,0,3,3,0
786,1,25,0,3,3,0
787,2,18,0,3,3,1
788,1,8,5,3,2,0
789,1,1,3,3,3,1
790,1,46,0,1,1,0
791,1,0,0,3,2,0
792,1,16,0,2,3,0
793,2,0,10,3,3,0
794,1,0,0,1,1,0
795,1,25,0,3,3,0
796,1,39,0,2,3,0
797,2,49,0,1,3,1
798,2,31,0,3,3,1
799,1,30,0,3,1,0
800,2,30,2,3,3,0
801,1,34,0,2,3,0
802,2,31,2,2,3,1
803,1,11,3,1,3,1
804,1,0.42,1,3,1,1
805,1,27,0,3,3,1
806,1,31,0,3,3,0
807,1,39,0,1,3,0
808,2,18,0,3,3,0
809,1,39,0,2,3,0
810,2,33,1,1,3,1
811,1,26,0,3,3,0
812,1,39,0,3,3,0
813,1,35,0,2,3,0
814,2,6,6,3,3,0
815,1,30.5,0,3,3,0
816,1,0,0,1,3,0
817,2,23,0,3,3,0
818,1,31,2,2,1,0
819,1,43,0,3,3,0
820,1,10,5,3,3,0
821,2,52,2,1,3,1
822,1,27,0,3,3,1
823,1,38,0,1,3,0
824,2,27,1,3,3,1
825,1,2,5,3,3,0
826,1,0,0,3,2,0
827,1,0,0,3,3,0
828,1,1,2,2,1,1
829,1,0,0,3,2,1
830,2,62,0,1,0,1
831,2,15,1,3,1,1
832,1,0.83,2,2,3,1
833,1,0,0,3,1,0
834,1,23,0,3,3,0
835,1,18,0,3,3,0
836,2,39,2,1,1,1
837,1,21,0,3,3,0
838,1,0,0,3,3,0
839,1,32,0,3,3,1
840,1,0,0,1,1,1
841,1,20,0,3,3,0
842,1,16,0,2,3,0
843,2,30,0,1,1,1
844,1,34.5,0,3,1,0
845,1,17,0,3,3,0
846,1,42,0,3,3,0
847,1,0,10,3,3,0
848,1,35,0,3,1,0
849,1,28,1,2,3,0
850,2,0,1,1,1,1
851,1,4,6,3,3,0
852,1,74,0,3,3,0
853,2,9,2,3,1,0
854,2,16,1,1,3,1
855,2,44,1,2,3,0
856,2,18,1,3,3,1
857,2,45,2,1,3,1
858,1,51,0,1,3,1
859,2,24,3,3,1,1
860,1,0,0,3,1,0
861,1,41,2,3,3,0
862,1,21,1,2,3,0
863,2,48,0,1,3,1
864,2,0,10,3,3,0
865,1,24,0,2,3,0
866,2,42,0,2,3,1
867,2,27,1,2,1,1
868,1,31,0,1,3,0
869,1,0,0,3,3,0
870,1,4,2,3,3,1
871,1,26,0,3,3,0
872,2,47,2,1,3,1
873,1,33,0,1,3,0
874,1,47,0,3,3,0
875,2,28,1,2,1,1
876,2,15,0,3,1,1
877,1,20,0,3,3,0
878,1,19,0,3,3,0
879,1,0,0,3,3,0
880,2,56,1,1,1,1
881,2,25,1,2,3,1
882,1,33,0,3,3,0
883,2,22,0,3,3,0
884,1,28,0,2,3,0
885,1,25,0,3,3,0
886,2,39,5,3,2,0
887,1,27,0,2,3,0
888,2,19,0,1,3,1
889,2,0,3,3,3,0
890,1,26,0,1,1,1
891,1,32,0,3,2,0
1000,1,38,1,1,3,1
